2026-05-08 01:42:37.298 UTC | GET /products | status=200 | elapsedMs=45
2026-05-08 01:42:37.330 UTC | GET /favicon.ico | status=404 | elapsedMs=0
2026-05-08 02:17:36.028 UTC | POST /auth/login | status=401 | elapsedMs=9
2026-05-08 02:18:20.707 UTC | POST /auth/login | status=401 | elapsedMs=0
2026-05-08 02:18:21.889 UTC | POST /auth/login | status=401 | elapsedMs=0
2026-05-08 02:18:43.898 UTC | POST /auth/login | status=401 | elapsedMs=0
2026-05-08 02:22:03.576 UTC | POST /auth/login | status=200 | elapsedMs=2
2026-05-08 02:31:54.869 UTC | POST /cart/items | status=200 | elapsedMs=8
2026-05-08 02:32:01.337 UTC | POST /cart/items | status=200 | elapsedMs=3
2026-05-08 02:32:02.457 UTC | POST /cart/items | status=200 | elapsedMs=4
2026-05-08 02:32:07.361 UTC | GET /index.html | status=304 | elapsedMs=0
2026-05-08 02:32:07.386 UTC | GET /styles.css | status=304 | elapsedMs=0
2026-05-08 02:32:07.387 UTC | GET /app.js | status=304 | elapsedMs=0
2026-05-08 02:32:07.692 UTC | GET /categories | status=200 | elapsedMs=0
2026-05-08 02:32:07.693 UTC | GET /products | status=200 | elapsedMs=0
2026-05-08 02:32:19.441 UTC | POST /auth/login | status=200 | elapsedMs=0
2026-05-08 02:32:29.217 UTC | GET /index.html | status=304 | elapsedMs=0
2026-05-08 02:32:29.416 UTC | GET /categories | status=200 | elapsedMs=0
2026-05-08 02:32:29.416 UTC | GET /products | status=200 | elapsedMs=0
2026-05-08 02:32:35.405 UTC | POST /auth/login | status=200 | elapsedMs=0
2026-05-16 16:25:48.343 UTC | GET /index.html | status=304 | elapsedMs=7
2026-05-16 16:25:48.397 UTC | GET /styles.css | status=200 | elapsedMs=12
2026-05-16 16:25:48.419 UTC | GET /app.js | status=200 | elapsedMs=35
2026-05-16 16:25:48.823 UTC | GET /favicon.ico | status=404 | elapsedMs=0
2026-05-16 16:25:48.910 UTC | GET /categories | status=200 | elapsedMs=195
2026-05-16 16:25:48.915 UTC | GET /products | status=200 | elapsedMs=200
2026-05-16 16:25:57.725 UTC | POST /auth/login | status=401 | elapsedMs=9
2026-05-16 16:25:57.750 UTC | POST /auth/login | status=401 | elapsedMs=0
2026-05-16 16:29:21.491 UTC | POST /auth/login | status=200 | elapsedMs=2
2026-05-16 16:29:30.991 UTC | POST /auth/login | status=401 | elapsedMs=0
2026-05-16 16:29:41.455 UTC | POST /auth/login | status=200 | elapsedMs=0
2026-05-16 16:29:49.461 UTC | POST /cart/items | status=200 | elapsedMs=185
2026-05-16 16:29:50.577 UTC | POST /cart/items | status=200 | elapsedMs=5
2026-05-16 16:29:52.194 UTC | GET /index.html | status=304 | elapsedMs=0
2026-05-16 16:29:52.390 UTC | GET /categories | status=200 | elapsedMs=0
2026-05-16 16:29:52.399 UTC | GET /products | status=200 | elapsedMs=8
2026-05-16 16:29:59.140 UTC | POST /auth/login | status=200 | elapsedMs=0
2026-05-16 16:30:06.793 UTC | POST /cart/items | status=200 | elapsedMs=2
2026-05-16 16:30:07.430 UTC | POST /cart/items | status=200 | elapsedMs=2
2026-05-16 16:30:12.929 UTC | POST /cart/items | status=200 | elapsedMs=3
2026-05-16 16:30:14.583 UTC | GET /products/3/reviews | status=200 | elapsedMs=15
2026-05-16 16:30:18.830 UTC | POST /cart/items | status=200 | elapsedMs=3
2026-05-16 16:30:18.981 UTC | POST /cart/items | status=200 | elapsedMs=2
2026-05-16 16:30:19.121 UTC | POST /cart/items | status=200 | elapsedMs=2
2026-05-16 16:30:19.259 UTC | POST /cart/items | status=200 | elapsedMs=2
2026-05-16 16:30:19.420 UTC | POST /cart/items | status=200 | elapsedMs=2
2026-05-16 16:30:20.672 UTC | POST /cart/items | status=200 | elapsedMs=3
2026-05-16 16:30:20.858 UTC | POST /cart/items | status=400 | elapsedMs=2
2026-05-16 16:30:21.160 UTC | POST /cart/items | status=400 | elapsedMs=1
2026-05-16 16:30:21.602 UTC | POST /cart/items | status=400 | elapsedMs=1
2026-05-16 16:30:22.544 UTC | POST /cart/items | status=400 | elapsedMs=1
2026-05-16 16:30:22.683 UTC | POST /cart/items | status=400 | elapsedMs=1
2026-05-16 16:30:23.348 UTC | POST /cart/items | status=400 | elapsedMs=1
2026-05-16 16:30:24.428 UTC | GET /products/3/reviews | status=200 | elapsedMs=0
2026-05-16 16:30:36.573 UTC | POST /cart/items | status=400 | elapsedMs=3
2026-05-16 16:30:43.609 UTC | POST /cart/items | status=400 | elapsedMs=2
2026-05-16 16:30:43.991 UTC | POST /cart/items | status=400 | elapsedMs=2
2026-05-16 16:30:44.218 UTC | POST /cart/items | status=400 | elapsedMs=2
2026-05-16 16:30:44.396 UTC | POST /cart/items | status=400 | elapsedMs=2
2026-05-16 16:30:44.551 UTC | POST /cart/items | status=400 | elapsedMs=2
2026-05-16 16:30:44.719 UTC | POST /cart/items | status=400 | elapsedMs=2
2026-05-16 16:30:44.863 UTC | POST /cart/items | status=400 | elapsedMs=2
2026-05-16 16:30:44.992 UTC | POST /cart/items | status=400 | elapsedMs=2
2026-05-16 16:30:45.109 UTC | POST /cart/items | status=400 | elapsedMs=1
2026-05-16 16:30:45.264 UTC | POST /cart/items | status=400 | elapsedMs=2
2026-05-16 16:30:45.377 UTC | POST /cart/items | status=400 | elapsedMs=2
2026-05-16 16:30:45.511 UTC | POST /cart/items | status=400 | elapsedMs=2
